Rating,Comments,Start Date
4,I would have loved to see the upperclassmen rooms or the underclassmen rooms that did not have a private bathroom in osprey hall.,6/28/2025 0:00
4,No,6/27/2025 0:00
4,I do not.,6/25/2025 0:00
4,NA,6/25/2025 0:00
4,No,6/25/2025 0:00
3,I was wondering if any of the resident halls have laundry mats? Or they have their own machines,6/24/2025 0:00
3,Nope,6/23/2025 0:00
4,No,6/22/2025 0:00
4,No,6/20/2025 0:00
4,Outside buildings looking run down,6/18/2025 0:00
4,Would love to see the community bath and social areas.,6/18/2025 0:00
3,Confortable and practical facilities. Iâ€™ll include a common kitchen area.,6/17/2025 0:00
4,Doesnâ€™t sound like there are many single room options,6/17/2025 0:00
4,It would have been nice to see a common area as well as the city ther types of roomarrngents,6/17/2025 0:00
4,None,6/17/2025 0:00
4,Loved it!,6/13/2025 0:00
4,No,6/13/2025 0:00
4,N/A,6/12/2025 0:00
3,Needs some TLC on exterior.,6/12/2025 0:00
4,No,6/12/2025 0:00
3,It smelled moldy,6/11/2025 0:00
4,They were the best dorms I have ever seen!,6/11/2025 0:00
3,No I do not have any feedback,6/5/2025 0:00
2,Nope,6/5/2025 0:00
4,No,6/4/2025 0:00
4,It would be nice to see several residence options,6/3/2025 0:00
4,I liked the articulated wooden hand model in the showroom,5/30/2025 0:00
3,It was amazingly organized and friendly,5/30/2025 0:00
4,No,5/30/2025 0:00
4,The outside of the dorms were disgusting. There was green algae all over them.,5/30/2025 0:00
3,Clean up mold and exterior,5/24/2025 0:00
4,NA,5/22/2025 0:00
3,N/A,5/20/2025 0:00
4,"It's super cozy, organized and fresh!!!! Loved it!!!",5/16/2025 0:00
4,N/A,5/16/2025 0:00
4,"It was really nice, it felt homey.",5/15/2025 0:00
4,No,5/14/2025 0:00
4,No,5/13/2025 0:00
4,i love it,5/9/2025 0:00
4,I wish we couldâ€™ve seen more than one residency hall! Especially since im a transfer but it was a good representation of what they had to offer!,5/6/2025 0:00
4,Smelled musty in there.,5/4/2025 0:00
4,it was cool!,5/2/2025 0:00
4,It smelt like mold,4/30/2025 0:00
4,No additional feedback,4/30/2025 0:00
4,6â€™7,4/29/2025 0:00
3,Very spiffy,4/29/2025 0:00
4,Great tour guide,4/28/2025 0:00
0,This was the weakest aspect of the school for my child,4/28/2025 0:00
2,The sink in the bathroom is too low should be higher for people who are tall,4/27/2025 0:00
3,Ji,4/26/2025 0:00
3,No,4/26/2025 0:00
3,Nope,4/24/2025 0:00
3,Did not like they were motel style with zero security. Anyone could walk up to your door at any time day or night,4/23/2025 0:00
3,It would have been helpful to see the common area to get a better feel for student life. Also having a hard time finding more visual information on the website.,4/23/2025 0:00
3,See more options,4/23/2025 0:00
4,Wish we could have seen inside the laundry room.,4/22/2025 0:00
3,I thought building access would be more secure,4/21/2025 0:00
0,Nice size. Would have liked to see some security though.,4/21/2025 0:00
1,I wish they would show a traditional hall on the tour.  I donâ€™t like that itâ€™s set up like a motel,4/20/2025 0:00
4,Dirty!,4/19/2025 0:00
4,No,4/19/2025 0:00
4,I think it was cool.,4/18/2025 0:00
4,loved it!!,4/18/2025 0:00
4,Maybe a bigger space for students that want a roommate but also have a service dog.,4/18/2025 0:00
4,N/A,4/18/2025 0:00
3,No,4/18/2025 0:00
2,There was black stuff on the ceiling either mold or dust.,4/18/2025 0:00
0,"Don't show the old dorms on tour, HORRIBLE, show new ones or upgrade old ones",4/17/2025 0:00
2,The village needs an upgrade. At the very least externally pressure cleaned and painted.,4/17/2025 0:00
3,I would have liked to see the dorm with the inside atrium. The dorm buildings could use an exterior refresh.,4/14/2025 0:00
2,It looked a little dated.,4/14/2025 0:00
4,Love that they are part of the tour and the halls look great and are spread out nicely,4/14/2025 0:00
3,No extra feedback,4/14/2025 0:00
3,"I guess you could say I didn't expect it to be outside not inside a building, but I didn't mind that.",4/13/2025 0:00
4,Looks pretty cozy,4/13/2025 0:00
4,No,4/13/2025 0:00
4,Nope!,4/13/2025 0:00
4,"Will was great, he provided lots of information. Little disappointed that the book store wasnâ€™t open because I wanted to purchase some UNF swag, but the guy suggested going to target and there was shirts there so all good!",4/13/2025 0:00
4,It was cool to see,4/9/2025 0:00
4,Bigger than we thought it would be,4/5/2025 0:00
4,N/A,4/5/2025 0:00
4,"Very nice, it felt very homey",4/4/2025 0:00
3,They should put tags or QR codes on items to make them easy to find/buy!,4/3/2025 0:00
3,I would like to see a room with the amenties that will be provided so I can determine what needs to be purchased,3/31/2025 0:00
3,I think it would be better if the beds are on the floor,3/30/2025 0:00
4,Not at the moment,3/28/2025 0:00
3.33,No,3/27/2025 0:00
3,No all is good,3/27/2025 0:00
3,No.,3/27/2025 0:00
4,"Not really, itâ€™s was great!",3/27/2025 0:00
2,The room smelled kind of musty and was a turn off about living on campus,3/27/2025 0:00
4,was very nice,3/27/2025 0:00
4,It was pretty,3/26/2025 0:00
4,N/A,3/26/2025 0:00
4,No :),3/26/2025 0:00
4,Suggestion: Identify the provided furniture before entering the demo as opposed to after.,3/26/2025 0:00
4,Supa cool,3/26/2025 0:00
4,No,3/25/2025 0:00
4,"No, thank you.",3/25/2025 0:00
4,None,3/24/2025 0:00
4,No,3/23/2025 0:00
3,"Infortunately, the door was locked when our tour arrived. It would have been nice to see the room inside.",3/19/2025 0:00
4,Nice and very cleanly,3/19/2025 0:00
3,No,3/19/2025 0:00
2,No not really,3/19/2025 0:00
4,Nope,3/19/2025 0:00
2,They need an improvement on the outside especially.  I noticed some front door that looked like plywood. Not very safe of secure door. Landscaping very sparse around dorms.,3/19/2025 0:00
4,Is it possible to see other resident hall options/ buildings before making a decision about housing?,3/18/2025 0:00
4,Maybe show another one,3/18/2025 0:00
2,"Student would not look at it.  Pool dirty, room was okayâ€¦",3/18/2025 0:00
1,Comparing it to other schools it was very small and the outside is in need of some cleaning and updating,3/17/2025 0:00
3,It was a little small,3/17/2025 0:00
4,It was very nice,3/17/2025 0:00
3,More rooms to look at,3/17/2025 0:00
4,No,3/17/2025 0:00
4,Great!,3/16/2025 0:00
3,Couldnhave discusses a bit more about the keycards. Many uni's are still using regular keys. Why the cards?,3/15/2025 0:00
0,Looks like it is in need of a remodel,3/15/2025 0:00
3,N/A,3/14/2025 0:00
3.5,No,3/14/2025 0:00
3,separate rooms would be better,3/14/2025 0:00
4,The showroom was very big and well-decorated!,3/14/2025 0:00
3,I would put an air freshener in there at all times. Smelled a little musty to me. Room was very nice though,3/13/2025 0:00
4,I would prefer private bathrooms as opposed to shared,3/12/2025 0:00
3,Dorm Room Only Osprey Cove,3/10/2025 0:00
3,I would like to see the other options,3/9/2025 0:00
4,It smells very damp,3/9/2025 0:00
2,I would suggest additional room option visit,3/8/2025 0:00
3,No,3/7/2025 0:00
4,No,3/6/2025 0:00
4,No,3/4/2025 0:00
4,"Parking was a bit confusing, we werenâ€™t sure if we were supposed to park in the garage and if we had to pay.",3/3/2025 0:00
0,It smelled like mold and overall the buildings were not well maintained,3/2/2025 0:00
3,Very nice! Love the layout,3/1/2025 0:00
4,No,2/28/2025 0:00
2,More residence options should be shown on tour. Only one was shown.,2/27/2025 0:00
3,No,2/26/2025 0:00
4,None,2/26/2025 0:00
2,offer money!,2/26/2025 0:00
2,John Doe,2/21/2025 0:00
3,Windows need to be cleaner,2/21/2025 0:00
4,No,2/19/2025 0:00
3,I wish that there was more secure entry to dorms,2/18/2025 0:00
4,It looks like it was supposed to be a three person room,2/18/2025 0:00
3,No,2/18/2025 0:00
3,None,2/18/2025 0:00
4,No,2/14/2025 0:00
3,No,2/13/2025 0:00
3,People were saying it wasnâ€™t good living there and the water stinks,2/13/2025 0:00
3,The buildings outside have a algae,2/13/2025 0:00
3,Wish I would have seen two different ones to compare,2/13/2025 0:00
4,It looks pretty!,2/8/2025 0:00
3,"It was very nice-looking, though I wouldâ€™ve loved to see more of the differences between the different types of housing available.",2/6/2025 0:00
4,None,2/6/2025 0:00
4,None,2/4/2025 0:00
4,Appeared clean and maintained,2/1/2025 0:00
3,doesnâ€™t feel homey,1/30/2025 0:00
4,It was very nice I really liked it,1/29/2025 0:00
4,very clean super pretty!!!,1/28/2025 0:00
4,No,1/24/2025 0:00
4,Spacious suite room,1/24/2025 0:00
2,"I loved Mackâ€™s personality, she was very sweet, and funny.",1/18/2025 0:00
3,No,1/16/2025 0:00
3,Try to have pictures of all housing in the room,1/15/2025 0:00
3,NA,1/14/2025 0:00
4,No,1/11/2025 0:00
4,"Nah, but make sure you give Dakota some brownie points, he was a great tour guide.",1/7/2025 0:00
4,No,1/7/2025 0:00
2,No,12/21/2024 0:00
2,Overall it is good.  I am older and havenâ€™t lived in an apartment or dorm for decades.,12/11/2024 0:00
4,No,12/10/2024 0:00
3,"give it some more color! you have wonderful dorm options, but it was dulled out by neutral tones.",12/7/2024 0:00
4,I loved it,12/7/2024 0:00
4,N/A,12/7/2024 0:00
4,Was slightly confused about the bathroom situation for the various residences,12/7/2024 0:00
3,great room spacing,12/6/2024 0:00
2,I wish that we saw additional dorm room options.,12/6/2024 0:00
3,i feel like we missed out on seeing the premium dorms,12/5/2024 0:00
